Scene ID,Product Annot,Seen On,Price,Slashed Price,Title,Free Gift,Sizes,Colors,Discount Code,Discount Message,Product Link,Picture URL,Features,Notes 
20,3,,RM149.00,RM134.10,Nur Aishah Pants Suit,"Blouse x 1(Black) 
Shawl x 1 (Plum or Black)",,"Mahogany Red, Plum, Peach",,,http://www.goshop.com.my/prd/20035421.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/54/21/20035421_02_400.jpg,"Nursing & wudhu friendly 
Simple yet classy
Cooling fabric
Perfect go-to outfit for festive season",
21,1,,RM139.00,RM125.10,Leanen Comfy Tudung Set (Pastel) (6pcs set),,,"Earl Grey, Eggplant, Blueberry, Vanilla, Bandung, Green Tea",,,http://www.goshop.com.my/prd/20034320.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/18/33/20041833_01_1200.jpg,"Made from soft cotton Lycra material
Easy to wear and get ready in an instant
Wear without inner and pin ",
21,2,,RM169.00,RM152.10,Puteri Haajar Qaisara Baju Kurung Set,"Black with Pink Rose Printed Top 
Shawl x 2 (Assorted Colour)",,,,,http://www.goshop.com.my/prd/20045523.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/55/23/20045523_01_400.jpg,"Nursing Friendly
Wudu' friendly
Back to basics
Flourished in prints",
22,1,,RM999.00,RM899.10,Nesthouz Primo 1 + 6 Dining Set,,,,,,http://www.goshop.com.my/prd/20035133.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/51/33/20035133_01_400.jpg,"Timeless Style
Made from Solid Rubber Wood
Comfortably Seats 6",
22,2,,RM139.00,RM125.10,Leanen Comfy Kurti Set (New Colours) (3pcs set),Denim Tote Bag,,"Plum, Olive, Grey",,,http://www.goshop.com.my/prd/20041835.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/18/35/20041835_01_400.jpg,"Basic & comfy
Nursing friendly
Crafted from Soft Cotton Spandex 
Well tailored with two-side deep pocket 
",
22,3,,RM75.00,RM67.50,ASOTV Amazing Cake Stand and 3-Tier Snack Server Stand (CS+SER),,,,,,http://www.goshop.com.my/prd/20042120.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/21/20/20042120_01_400.jpg,"Assembly is quick and easy
Perfect for cupcakes, brownies, cookies and more
Normal display stands 31 cm tall
Made from sturdy PVC",
23,1,,RM499.00,RM449.10,Harry Mason Rose Dia Watch,,,"Choose From:
Rose Gold
Leather",,,http://www.goshop.com.my/prd/20017322.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/73/22/20017322_09_400.jpg,"Interchangeable cowhide leather band 
A truly timeless fashion statement
A classically designed watch
Precision timekeeping
",
23,2,,RM129.00,RM116.10,Pamica Beverly Ergonomic Mesh Back Task Chair with Arm and Gaslift,,,,,,http://www.goshop.com.my/prd/20044730.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/47/30/20044730_01_400.jpg,"Adjustable Height, Swivels, With Back and Arms
Frame Material: Metal, Plywood, Nylon
Furniture Legs Material: Plastic
Accessories Included: Casters
Care and Cleaning: Wipe Clean With a Damp Cloth
Seat Width: 44cm",
24,1,,RM139.00,RM125.10,Leanen Comfy Tudung Set (Pastel) (6pcs set),,,"Earl Grey, Eggplant, Blueberry, Vanilla, Bandung, Green Tea",,,http://www.goshop.com.my/prd/20034320.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/18/33/20041833_01_1200.jpg,"Made from soft cotton Lycra material
Easy to wear and get ready in an instant
Wear without inner and pin ",
25,1,,RM1115.00,RM619.10,Seiko Criteria Solar Men Watch (SNE195P1),,,,,,http://www.goshop.com.my/prd/20046466.html?utm_medium=referral&utm_source=astro_findit&utm_campaign=ria_findit_20171110,http://image.goshop.com.my/resources/ms/image/contents/prd/65/13/20046513_01_1200.jpg,,
