Video ID,Product Title,Product Link,Product Picture URL,Time Stamp,Product Category
15,"Clothe Co. Mens Heavyweight 100% Cotton Short Sleeve T-Shirt, Ultramarine Blue, 2XL",http://amzn.to/2vWDige,https://images-na.ssl-images-amazon.com/images/I/41y6CrQz0eL._SL250_.jpg,1:02,Men's Tops
15,LOCALMODE Men Linen and Cotton V neck Short Sleeve T Shirts Casual Tee Navy XL,http://amzn.to/2wvmaBL,https://images-na.ssl-images-amazon.com/images/I/41Pklb5QDTL._SL250_.jpg,1:02,Men's Tops
15,Kavio! Women Sheer Jersey Contrast V Neck Raglan Short Sleeve Dark H.Gray/Navy M,http://amzn.to/2wv6v5i,https://images-na.ssl-images-amazon.com/images/I/518nNS2fMJL.jpg,1:02,Men's Tops
15,"Hanes Men's Short Sleeve X-Temp W/ FreshIQ T-Shirt 2-Pack, Royal Blue Heather, Medium",http://amzn.to/2xHh9EN,https://images-na.ssl-images-amazon.com/images/I/515uTy%2BCyuL._SL250_.jpg,1:02,Men's Tops
15,Nike Legend Men's Dri-Fit Training T-Shirt Tee Blue Size,http://amzn.to/2x31anj,https://images-na.ssl-images-amazon.com/images/I/41u5f9Ct6PL._SL250_.jpg,1:02,Men's Tops
15,ROMWE Women's Loose Short Sleeve Round Neck Solid Summer T-shirt Tops Blouse Navy,http://amzn.to/2eAgGiV,https://images-na.ssl-images-amazon.com/images/I/41s0fkC1yZL._SL250_.jpg,1:02,Men's Tops
15,HEMOON Men's Short Sleeve Premium Casual Tri Blend V-Neck T-Shirt L Navy Blue,http://amzn.to/2xHoHHG,https://images-na.ssl-images-amazon.com/images/I/416N3WUr6QL._SL250_.jpg,1:02,Men's Tops
15,"Hanes Men's Nano Premium Cotton V-Neck T-Shirt (Pack of 2), Vintage Navy, X-Large",http://amzn.to/2evGOrN,https://images-na.ssl-images-amazon.com/images/I/41YZxTlERdL._SL250_.jpg,1:02,Men's Tops
15,Hanes TAGLESS 6.1 Long Sleeve T-Shirt (Light Steel),http://amzn.to/2gc2oWe,https://images-na.ssl-images-amazon.com/images/I/41dHpQ6u%2BWL.jpg,1:02,Long Sleeve T-Shirts
15,"Jerzees Men's Adult Long Sleeve Tee, Black Heather",http://amzn.to/2ezP9OH,https://images-na.ssl-images-amazon.com/images/I/51itrsofyXL._SL250_.jpg,1:02,Long Sleeve T-Shirts
15,"Hanes X-Temp Mens Long-Sleeve T-Shirt O5716, L, Mid Charcoal Heather",http://amzn.to/2evvTxZ,https://images-na.ssl-images-amazon.com/images/I/419mgleDj1L._SL250_.jpg,1:02,Long Sleeve T-Shirts
15,"Hanes Men's Long Sleeve Cool Dri T-Shirt UPF 50+, Large, 2 Pack ,Graphite",http://amzn.to/2wvuK3y,https://images-na.ssl-images-amazon.com/images/I/41qsq%2BPbhQL._SL250_.jpg,1:02,Long Sleeve T-Shirts
15,Hanes Men's Long-Sleeve Beefy Henley T-Shirt - Medium - Hanes Navy Heather,http://amzn.to/2xHK0sr,https://images-na.ssl-images-amazon.com/images/I/51bo53K1S4L._SL250_.jpg,1:02,Long Sleeve T-Shirts
15,MrWonder Men Casual Slim Fit Long Sleeve T-Shirt Contrast Color Raglan Shirts Dark Grey,http://amzn.to/2x2H1hi,https://images-na.ssl-images-amazon.com/images/I/51ZWtp5tSRL._SL250_.jpg,1:02,Long Sleeve T-Shirts
15,"Carhartt Men's Signature Logo Long Sleeve T-Shirt, Carbon Heather/Blue",http://amzn.to/2wvIOtA,https://images-na.ssl-images-amazon.com/images/I/41SyVCgiM4L._SL250_.jpg,1:02,Long Sleeve T-Shirts
15,Hanes Men's TAGLESS&reg; Comfortsoft&reg; Long-Sleeve T-Shirt,http://amzn.to/2x2IF2e,https://images-na.ssl-images-amazon.com/images/I/41gAKPMmXIL._SL250_.jpg,1:02,Long Sleeve T-Shirts
15,"BIG Black American Flag Long Sleeve Mens T-Shirt Tee (Large, CHARCOAL)",http://amzn.to/2vWlsd6,https://images-na.ssl-images-amazon.com/images/I/51PjmVNztcL._SL250_.jpg,1:02,Long Sleeve T-Shirts
15,Gildan Womens Heavy Cotton Missy Fit Long-Sleeve T-Shirt (G540L) -SPORT GREY,http://amzn.to/2eA8lvB,https://images-na.ssl-images-amazon.com/images/I/41hHdAl0y1L._SL250_.jpg,1:02,Long Sleeve T-Shirts
15,"Champion Men's Long Sleeve T-Shirt, Granite Heather, X-Large",http://amzn.to/2wvmIaT,https://images-na.ssl-images-amazon.com/images/I/41XJ-uWe9NL._SL250_.jpg,1:02,Long Sleeve T-Shirts
15,Paladoo Winter Hats Knitted Beanie Caps Soft Warm Ski Hat Dark Grey,http://amzn.to/2waBamS,https://images-na.ssl-images-amazon.com/images/I/515GAJpULAL.jpg,1:29,Headwear/Beanies
15,Rich Cotton Wool Beanie Hat 100% Merino Wool (grey),http://amzn.to/2wvw32s,https://images-na.ssl-images-amazon.com/images/I/51kuHXc-rqL._SL250_.jpg,1:29,Headwear/Beanies
15,"NYFASHION101 Unisex Multicolor Warm Cable Knit Thick Slouch Beanie Cap, Black/Gray",http://amzn.to/2wvnPao,https://images-na.ssl-images-amazon.com/images/I/51sx-En-jSL._SL250_.jpg,1:29,Headwear/Beanies
15,Daily Knit Ribbed Beanie by Tough Headwear - Stretchy & Soft Beanie Hats for Men & Women - Year Round Comfort - Serious Beanies for Serious Style (Slate Gray),http://amzn.to/2vCWLaA,https://images-na.ssl-images-amazon.com/images/I/51rg%2BI8s8XL._SL250_.jpg,1:29,Headwear/Beanies
15,H-6100-2067 Oversized Slouchy Beanie -CONFETTI Oatmeal,http://amzn.to/2vWtx1x,https://images-na.ssl-images-amazon.com/images/I/51oo4jFVPcL._SL250_.jpg,1:29,Headwear/Beanies
15,ToBeInStyle Men's Pack of 6 Soft Stretchy Beanies - Assorted Colors - One Size,http://amzn.to/2x2tCpt,https://images-na.ssl-images-amazon.com/images/I/51sOJCv04KL._SL250_.jpg,1:29,Headwear/Beanies
15,Hatsandscarf CC Exclusives Unisex Oversized Slouchy Beanie with Pom (HAT-6242POM) (BLACK MULTI AMAZON),http://amzn.to/2wvycem,https://images-na.ssl-images-amazon.com/images/I/51uTxEmzn4L._SL250_.jpg,1:29,Headwear/Beanies
15,"NYFASHION101 Oversized Baggy Slouchy Thick Winter Beanie Hat, Gray Mix",http://amzn.to/2vD1PLZ,https://images-na.ssl-images-amazon.com/images/I/51HzExPv78L._SL250_.jpg,1:29,Headwear/Beanies
15,Winter Knit Black Whatever Beanie Hat Men Women Winter Cap Skully Letter Beanie,http://amzn.to/2vCNqzn,https://images-na.ssl-images-amazon.com/images/I/41du9KjQa0L._SL250_.jpg,1:29,Headwear/Beanies
15,"Trendy Warm Chunky Soft Stretch Cable Knit Beanie Skully, Charcoal",http://amzn.to/2vCR0cE,https://images-na.ssl-images-amazon.com/images/I/41wrmaCRsmL._SL250_.jpg,1:29,Headwear/Beanies
15,KBW-10 DGY Heather Slouchy Beanie Skull Cap Hat,http://amzn.to/2vCwLvW,https://images-na.ssl-images-amazon.com/images/I/61SL8C9mvqL._SL250_.jpg,1:29,Headwear/Beanies
15,Coofandy Men's Long Sleeve Casual Active Jersey Zip-Up Hoodie (Dark Red),http://amzn.to/2gbBxcQ,https://images-na.ssl-images-amazon.com/images/I/41BUqA8-iJL.jpg,1:29,Hoodies
15,"Jerzees Youth Full Zip Hooded Sweatshirt, True Red, Large",http://amzn.to/2xHjdfS,https://images-na.ssl-images-amazon.com/images/I/41%2BBCFlNFbL._SL250_.jpg,1:29,Hoodies
15,Nike Mens Sportswear Pull Over Club Hooded Sweatshirt University Red/White,http://amzn.to/2ezVbyU,https://images-na.ssl-images-amazon.com/images/I/414bC1%2BJFWL._SL250_.jpg,1:29,Hoodies
15,Ohoo Mens Slim Fit Long Sleeve Lightweight Zip-up Hoodie With Kanga Pocket,http://amzn.to/2vVUoLi,https://images-na.ssl-images-amazon.com/images/I/41pNl1u5QVL._SL250_.jpg,1:29,Hoodies
15,EASYHON Womens Soft Zip Up Fleece Hoodie Sweater Jacket ,http://amzn.to/2wvvjdm,https://images-na.ssl-images-amazon.com/images/I/51eoqN-k4AL._SL250_.jpg,1:29,Hoodies
15,"Hanes Men's Full Zip Nano Premium Lightweight Fleece Hoodie, Vintage Red",http://amzn.to/2wvUpJu,https://images-na.ssl-images-amazon.com/images/I/41qFu-UEuCL._SL250_.jpg,1:29,Hoodies
15,MBJ WSK954 Womens Active Fleece Zip Up Hoodie Sweater Jacket,http://amzn.to/2xHbBKz,https://images-na.ssl-images-amazon.com/images/I/41DRk2EL60L._SL250_.jpg,1:29,Hoodies
15,Nike Youth Boys Therma Training Hoodie ATHLETIC SHIRT University Red Black,http://amzn.to/2evZ1FA,https://images-na.ssl-images-amazon.com/images/I/41UH5u9mNEL._SL250_.jpg,1:29,Hoodies
15,"Fruit of the Loom Men's Jersey Full-Zip Hood, Heather Grey",http://amzn.to/2vWK4lY,https://images-na.ssl-images-amazon.com/images/I/4193hdTmNzL._SL250_.jpg,1:29,Hoodies
15,"adidas Originals Women's Trefoil Hoodie, Core Red/White",http://amzn.to/2wwhYBP,https://images-na.ssl-images-amazon.com/images/I/4159aIebScL._SL250_.jpg,1:29,Hoodies
15,"Mens Shirt,Haoricu Autumn Winter Men Teens Slim Fit Hoodie Sweatshirt Winter Long Sleeve Coat Jacket (M, Red)",http://amzn.to/2wvqpND,https://images-na.ssl-images-amazon.com/images/I/51L0luAA38L._SL250_.jpg,1:29,Hoodies
